Game #, LMS's win percentage
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,100.0
8,100.0
9,100.0
10,100.0
11,100.0
12,100.0
13,100.0
14,100.0
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,100.0
21,100.0
22,100.0
23,100.0
24,95.83333
25,96.0
26,92.30769
27,92.30769
28,92.59259
29,89.28571
30,86.206894
31,86.666664
32,83.870964
33,84.375
34,81.818184
35,82.35294
36,82.85715
37,80.55556
38,81.08108
39,81.57895
40,82.051285
41,82.5
42,82.5
43,82.92683
44,83.33333
45,81.39535
46,81.818184
47,82.22222
48,82.608696
49,82.97873
50,83.33333
51,83.67347
52,83.67347
53,84.0
54,84.31373
55,84.31373
56,84.61539
57,84.90566
58,85.18519
59,85.454544
60,85.71429
61,85.96491
62,86.206894
63,86.440674
64,86.440674
65,85.0
66,85.0
67,85.2459
68,85.48387
69,84.12698
70,84.375
71,84.61539
72,84.84849
73,85.07463
74,85.29411
75,84.05797
76,84.28571
77,84.50704
78,83.33333
79,82.19178
80,81.08108
81,81.333336
82,81.57895
83,81.818184
84,82.051285
85,82.27848
86,81.25
87,81.48148
88,81.70731
89,81.92771
90,82.14286
91,82.35294
92,82.558136
93,82.75862
94,81.818184
95,82.02247
96,82.22222
97,82.41759
98,82.608696
99,81.72043
100,81.72043
101,81.914894
102,82.10526
103,82.29167
104,82.47423
105,81.63265
106,81.818184
107,82.0
108,82.178215
109,82.35294
110,82.52427
111,82.69231
112,82.85715
113,83.01887
114,83.177574
115,83.33333
116,83.486244
117,83.63636
118,83.78378
119,83.92857
120,84.07079
121,84.210526
122,84.347824
123,84.48276
124,84.61539
125,84.745766
126,84.87395
127,85.0
128,84.29752
129,84.29752
130,84.42623
131,83.73984
132,83.870964
133,84.0
134,84.12698
135,83.46457
136,83.59375
137,83.72093
138,83.84615
139,83.96947
140,84.090904
141,84.210526
142,84.32836
143,84.44444
144,84.55882
145,84.67153
146,84.78261
147,84.89209
148,84.28571
149,84.39716
150,84.50704
151,83.916084
152,84.02778
153,84.02778
154,84.02778
155,84.13793
156,84.246574
157,84.35374
158,84.45946
159,84.56376
160,84.0
161,84.0
162,84.105965
163,84.210526
164,84.210526
165,84.31373
166,83.766235
167,83.22581
168,82.69231
169,82.80254
170,82.91139
171,82.38994
172,82.5
173,82.608696
174,82.71605
175,82.82208
176,82.92683
177,82.92683
178,83.030304
179,83.13253
180,82.63473
181,82.7381
182,82.7381
183,82.84023
184,82.35294
185,81.871346
186,81.39535
187,81.50289
188,81.60919
189,81.71429
190,81.25
191,81.35593
192,80.89887
193,81.005585
194,81.005585
195,80.55556
196,80.1105
197,80.21978
198,80.327866
199,80.434784
200,80.0
201,79.56989
202,79.679146
203,79.78724
204,79.89418
205,80.0
206,80.0
207,80.10471
208,80.20833
209,79.79275
210,79.79275
211,79.89691
212,79.48718
213,79.081635
214,79.081635
215,79.18781
216,78.78788
217,78.78788
218,78.39196
219,78.0
220,78.10945
221,78.21782
222,78.21782
223,78.21782
224,78.32512
225,78.43137
226,78.53659
227,78.15534
228,77.77778
229,77.40385
230,77.03349
231,76.666664
232,76.303314
233,75.9434
234,76.056335
235,75.700935
236,75.81396
237,75.92593
238,75.576035
239,75.68808
240,75.79909
241,75.79909
242,75.90909
243,76.018105
244,75.675674
245,75.78475
246,75.44643
247,75.44643
248,75.11111
249,75.22124
250,75.33039
251,75.4386
252,75.54585
253,75.652176
254,75.32467
255,75.43104
256,75.10729
257,75.21368
258,75.319145
259,75.42373
260,75.105484
261,74.78992
262,74.78992
263,74.78992
264,74.47699
265,74.583336
266,74.583336
267,74.6888
268,74.79339
269,74.89712
270,75.0
271,75.10204
272,74.796745
273,74.89879
274,74.59677
275,74.69879
276,74.8
277,74.50199
278,74.60318
279,74.70356
280,74.80315
281,74.90196
282,74.609375
283,74.31906
284,74.4186
285,74.51737
286,74.51737
287,74.61539
288,74.71265
289,74.42748
290,74.144485
291,74.242424
292,74.33962
293,74.4361
294,74.1573
295,74.25373
296,74.34944
297,74.07407
298,74.16975
299,73.89706
300,73.62637
301,73.357666
302,73.09091
303,73.18841
304,73.2852
305,73.381294
306,73.4767
307,73.57143
308,73.66548
309,73.40425
310,73.144875
311,73.23943
312,73.333336
313,73.426575
314,73.519165
315,73.26389
316,73.3564
317,73.44827
318,73.53952
319,73.287674
320,73.037544
321,73.12926
322,73.22034
323,73.310814
324,73.310814
325,73.310814
326,73.06397
327,72.818794
328,72.9097
329,73.0
330,73.0897
331,72.84768
332,72.937294
333,73.02631
334,73.11475
335,73.202614
336,73.2899
337,73.05195
338,72.81553
339,72.58065
340,72.66881
341,72.75641
342,72.84345
343,72.611465
344,72.38095
345,72.38095
346,72.46835
347,72.5552
348,72.5552
349,72.64151
350,72.41379
351,72.5
352,72.58567
353,72.67081
354,72.67081
355,72.75542
356,72.83951
357,72.92307
358,72.69939
359,72.782875
360,72.86585
361,72.94833
362,73.030304
363,73.111786
364,73.19277
365,73.19277
366,73.27327
367,73.35329
368,73.13432
369,73.21429
370,73.29377
371,73.37278
372,73.451324
373,73.52941
374,73.31378
375,73.09942
376,73.17784
377,73.25581
378,73.333336
379,73.4104
380,73.48703
381,73.56322
382,73.63897
383,73.71429
384,73.78918
385,73.86364
386,73.937675
387,74.0113
388,74.08451
389,74.1573
390,74.1573
391,74.22969
392,74.30168
393,74.0947
394,74.166664
395,74.23823
396,74.30939
397,74.380165
398,74.380165
399,74.45055
400,74.520546
401,74.590164
402,74.6594
403,74.728264
404,74.796745
405,74.86487
406,74.93262
407,75.0
408,75.067024
409,75.13369
410,75.2
411,75.26595
412,75.331566
413,75.13228
414,75.19789
415,75.26316
416,75.32808
417,75.39267
418,75.45692
419,75.52083
420,75.32467
421,75.32467
422,75.388596
423,75.452194
424,75.25773
425,75.321335
426,75.38461
427,75.44757
428,75.5102
429,75.57252
430,75.634514
431,75.6962
432,75.6962
433,75.757576
434,75.81864
435,75.879395
436,75.93985
437,75.93985
438,76.0
439,76.059845
440,76.059845
441,76.11941
442,76.17866
443,76.237625
444,76.296295
445,76.35468
446,76.41278
447,76.47059
448,76.52812
449,76.585365
450,76.642334
451,76.69903
452,76.75545
453,76.81159
454,76.86747
455,76.92308
456,76.97842
457,76.79426
458,76.84964
459,76.90476
460,76.72209
461,76.77725
462,76.59575
463,76.65094
464,76.47059
465,76.52582
466,76.3466
467,76.16823
468,76.22378
469,76.04652
470,76.10209
471,76.15741
472,76.21247
473,76.26728
474,76.32184
475,76.32184
476,76.376144
477,76.20137
478,76.25571
479,76.30979
480,76.36363
481,76.41723
482,76.47059
483,76.297966
484,76.35135
485,76.404495
486,76.4574
487,76.51006
488,76.5625
489,76.6147
490,76.44445
491,76.49667
492,76.548676
493,76.60044
494,76.651985
495,76.7033
496,76.7033
497,76.75439
498,76.80525
499,76.80525
500,76.855896
501,76.90632
502,76.739136
503,76.78959
504,76.83983
505,76.88985
506,76.93965
507,76.93965
508,76.98924
509,76.824036
510,76.87366
511,76.92308
512,76.75906
513,76.75906
514,76.80851
515,76.85775
516,76.906784
517,76.955605
518,77.00422
519,77.05263
520,77.100845
521,77.14885
522,77.196655
523,77.244255
524,77.291664
525,77.33888
526,77.38589
527,77.43271
528,77.47934
529,77.31959
530,77.36626
531,77.20739
532,77.04918
533,77.096115
534,77.096115
535,77.14286
536,77.14286
537,76.98574
538,77.03252
539,77.03252
540,77.0791
541,76.92308
542,76.969696
543,76.814514
544,76.86117
545,76.706825
546,76.706825
547,76.75351
548,76.6
549,76.64671
550,76.69322
551,76.54076
552,76.5873
553,76.63366
554,76.67984
555,76.72584
556,76.72584
557,76.5748
558,76.42436
559,76.47059
560,76.51663
561,76.5625
562,76.608185
563,76.653694
564,76.50486
565,76.550385
566,76.59575
567,76.447876
568,76.493256
569,76.34615
570,76.391556
571,76.43678
572,76.290634
573,76.14504
574,76.0
575,76.04562
576,76.09108
577,76.13636
578,76.18148
579,76.037735
580,76.08286
581,76.12782
582,75.98499
583,76.02996
584,75.887856
585,75.74627
586,75.791435
587,75.83643
588,75.88126
589,75.92593
590,75.78558
591,75.83025
592,75.87477
593,75.7353
594,75.779816
595,75.64102
596,75.685555
597,75.72993
598,75.59199
599,75.454544
600,75.49909
601,75.49909
602,75.54348
603,75.5877
604,75.63177
605,75.49549
606,75.53957
607,75.58348
608,75.627235
609,75.67084
610,75.67084
611,75.71429
612,75.57932
613,75.62277
614,75.66608
615,75.70922
616,75.57522
617,75.57522
618,75.441696
619,75.48501
620,75.52817
621,75.39543
622,75.4386
623,75.4386
624,75.30648
625,75.349655
626,75.39267
627,75.43554
628,75.478264
629,75.52083
630,75.563255
631,75.60554
632,75.60554
633,75.64767
634,75.51724
635,75.38726
636,75.42955
637,75.4717
638,75.513695
639,75.55556
640,75.59727
641,75.63884
642,75.680275
643,75.721565
644,75.76271
645,75.80372
646,75.84459
647,75.88533
648,75.92593
649,75.966385
650,76.006714
651,75.879395
652,75.91973
653,75.95993
654,76.0
655,76.0
656,75.87354
657,75.747505
658,75.78773
659,75.82781
660,75.86777
661,75.907585
662,75.94728
663,75.98685
664,76.026276
665,75.90164
666,75.77741
667,75.653595
668,75.530174
669,75.407166
670,75.407166
671,75.44715
672,75.487015
673,75.52674
674,75.40453
675,75.44426
676,75.48387
677,75.523346
678,75.40193
679,75.441414
680,75.32051
681,75.2
682,75.07987
683,74.96013
684,75.0
685,75.03974
686,74.92064
687,74.96038
688,74.841774
689,74.881516
690,74.763405
691,74.763405
692,74.80315
693,74.68553
694,74.72527
695,74.76489
696,74.76489
697,74.64789
698,74.64789
699,74.53125
700,74.570984
701,74.61059
702,74.65008
703,74.689445
704,74.72868
705,74.61301
706,74.652245
707,74.69135
708,74.730354
709,74.769226
710,74.80799
711,74.69325
712,74.732
713,74.732
714,74.770645
715,74.80916
716,74.847565
717,74.88585
718,74.92401
719,74.92401
720,74.81032
721,74.84849
722,74.735245
723,74.773415
724,74.81146
725,74.849396
726,74.887215
727,74.92492
728,74.962524
729,75.0
730,75.03737
731,74.92538
732,74.96274
733,75.0
734,74.88856
735,74.77745
736,74.666664
737,74.70414
738,74.593796
739,74.63127
740,74.521355
741,74.55882
742,74.59618
743,74.4868
744,74.37775
745,74.41521
746,74.45255
747,74.45255
748,74.344025
749,74.38137
750,74.4186
751,74.4186
752,74.455734
753,74.49275
754,74.38495
755,74.27746
756,74.314575
757,74.351585
758,74.244606
759,74.28161
760,74.17503
761,74.06876
762,73.9628
763,73.9628
764,73.85714
765,73.751785
766,73.78918
767,73.826454
768,73.721596
769,73.61702
770,73.51274
771,73.40877
772,73.44633
773,73.44633
774,73.48378
775,73.48378
776,73.521126
777,73.558365
778,73.595505
779,73.63254
780,73.52941
781,73.56643
782,73.463684
783,73.5007
784,73.537605
785,73.435326
786,73.47222
787,73.50901
788,73.4072
789,73.443985
790,73.342545
791,73.342545
792,73.37931
793,73.41598
794,73.452545
795,73.452545
796,73.452545
797,73.48901
798,73.48901
799,73.3882
800,73.42465
801,73.46101
802,73.49727
803,73.396996
804,73.297
805,73.333336
806,73.36956
807,73.4057
808,73.441734
809,73.47768
810,73.51351
811,73.51351
812,73.549255
813,73.450134
814,73.48587
815,73.52151
816,73.55705
817,73.5925
818,73.627846
819,73.6631
820,73.56476
821,73.46667
822,73.36884
823,73.40425
824,73.439575
825,73.34217
826,73.24503
827,73.24503
828,73.14815
829,73.05152
830,73.087074
831,72.990776
832,72.990776
833,73.02631
834,73.06176
835,73.06176
836,73.097115
837,73.097115
838,73.13237
839,73.16754
840,73.0719
841,73.107056
842,73.14211
843,73.046875
844,72.95188
845,72.85714
846,72.76264
847,72.79793
848,72.70375
849,72.73901
850,72.77419
851,72.68041
852,72.715576
853,72.75064
854,72.65725
855,72.5641
856,72.599236
857,72.599236
858,72.599236
859,72.63428
860,72.63428
861,72.66922
862,72.70409
863,72.611465
864,72.51908
865,72.554
866,72.58883
867,72.62357
868,72.53165
869,72.566376
870,72.47475
871,72.50945
872,72.54408
873,72.57861
874,72.57861
875,72.61307
876,72.64743
877,72.68171
878,72.68171
879,72.59074
880,72.625
881,72.65918
882,72.69327
883,72.72727
884,72.72727
885,72.63682
